Site,Plot,Tree #,Species,DBH (in),Height,Live Crown Ratio (%),Class,Status,Site ID,Core ID,Species,Skeleton (Y/N),Measured (Y/N),Innermost Year,Notes
Great River Harbor,2,6,SM,21,67.8,30,C,L,,,,,,,
Great River Harbor,2,7,SM,10,66.2,80,I,L,,,,,,,
Great River Harbor,2,8,BE,7.2,40.3,15,S,D,,,,,,,
Great River Harbor,2,9,SM,15.6,63.4,30,C,L,,,,,,,
Great River Harbor,2,10,SM,19.3,61.3,30,C,L,,,,,,,
Great River Harbor,2,11,SM,6,34.7,10,S,D,,,,,,,
Great River Harbor,2,12,SM,18.2,71.3,50,I,L,,,,,,,
Great River Harbor,3,1,SM,9.1,62,80,I,L,,,,,,,
Great River Harbor,3,2,SM,8.8,50.9,80,I,L,,,,,,,
Great River Harbor,3,3,SM,10.4,53.3,30,C,L,,,,,,,
Great River Harbor,3,4,SM,11.6,57.8,70,I,L,,,,,,,
Great River Harbor,3,5,SM,15.5,61.3,40,C,L,,,,,,,
Great River Harbor,3,6,SM,13.6,55.7,30,C,L,,,,,,,
Great River Harbor,3,7,ASH,7.2,58.4,50,C,L,,,,,,,
Great River Harbor,3,8,SM,16.3,45.8,50,I,L,,,,,,,
Great River Harbor,3,9,SM,7.2,45.8,50,I,L,,,,,,,
Great River Harbor,3,10,SM,9.9,48.4,60,S,L,,,,,,,
Great River Harbor,3,11,SM,23,52.2,65,D,L,,,,,,,
Great River Harbor,3,12,CW,33.7,84.9,15,D,L,,,,,,,
Great River Harbor,3,13,SM,7.9,36.9,75,S,L,,,,,,,
Great River Harbor,3,14,CW,40.3,118.6,25,D,L,,,,,,,
Great River Harbor,4,1,BW,27.6,61.1,35,D,L,,,,,,,
Great River Harbor,4,2,SM,23.5,66.9,40,D,L,,,,,,,
Great River Harbor,4,3,ASH,5.9,34.1,60,I,L,,,,,,,
Great River Harbor,4,4,SM,36.6,70.6,55,D,L,,,,,,,
Great River Harbor,4,5,BW,8.5,49.9,60,S,L,,,,,,,
Great River Harbor,4,6,BW,5.8,49.9,60,S,L,,,,,,,
Great River Harbor,4,7,OAK,39,79.9,40,D,L,,,,,,,
Great River Harbor,4,8,BW,14,76.9,60,C,L,,,,,,,
Goose Island,2,1,ASH,6.7,35.2,80,S,L,,,,,,,
Goose Island,2,2,CW,18.3,61.2,10,D,L,,,,,,,
Goose Island,2,3,CW,16.7,75.9,10,D,L,,,,,,,
Goose Island,2,4,SM,18.5,70.5,40,C,L,,,,,,,
Goose Island,2,5,ASH,9.1,53.6,50,I,L,,,,,,,
Goose Island,2,6,SM,25.9,57,75,I,L,,,,,,,
Goose Island,2,7,CW,26.6,87.3,15,D,L,,,,,,,
Goose Island,2,8,AE,10.3,32,80,S,L,,,,,,,
Goose Island,2,9,CW,20.8,64.3,25,D,L,,,,,,,
Goose Island,2,10,SM,19.7,86.6,45,D,L,,,,,,,
Goose Island,2,11,SM,22,86.6,45,D,L,,,,,,,
Goose Island,2,12,SM,12.9,47.2,70,S,L,,,,,,,
Goose Island,2,13,SM,19.5,68.2,35,C,L,,,,,,,
Goose Island,2,14,SM,6.7,28.4,80,S,L,,,,,,,
Goose Island,2,15,SM,14.7,49.6,40,I,L,,,,,,,
Goose Island,2,16,SM,18.1,52,45,I,L,,,,,,,
Goose Island,2,17,CW,29.4,100.2,20,D,L,,,,,,,
Goose Island,2,18,SM,12.2,45.4,85,S,L,,,,,,,
Goose Island,5,1,ASH,20.7,64.4,15,D,L,,,,,,,
Goose Island,5,2,ASH,20,72.5,20,D,L,,,,,,,
Goose Island,5,3,BL,5,34.9,60,I,L,,,,,,,
Goose Island,5,4,BL,6.5,51.1,30,I,L,,,,,,,
Goose Island,5,5,BL,9.1,45.4,20,C,L,,,,,,,
Goose Island,5,6,BL,6,49.5,15,C,L,,,,,,,
Goose Island,5,7,ASH,24.1,75.6,15,D,L,,,,,,,
Goose Island,9,1,SM,14.8,68.7,60,C,L,,,,,,,
Goose Island,9,2,ASH,6.9,57.2,20,C,L,,,,,,,
Goose Island,9,3,ASH,5.9,47.6,65,S,L,,,,,,,
Goose Island,9,4,ASH,5.3,43.6,30,S,L,,,,,,,
Goose Island,9,5,OAK,26,82.8,35,D,L,,,,,,,
Goose Island,9,6,HB,7.6,48,80,S,L,,,,,,,
Goose Island,9,7,ASH,15,57.3,30,C,L,,,,,,,
Goose Island,9,8,HB,13.4,60.9,40,C,L,,,,,,,
Goose Island,9,9,ASH,14.5,68.4,55,D,L,,,,,,,
Goose Island,9,10,ASH,7.5,54.1,80,I,L,,,,,,,
Goose Island,9,11,ASH,8.1,39.2,10,S,L,,,,,,,
Goose Island,9,12,HB,9.1,51.7,35,I,L,,,,,,,
Goose Island,12,1,ASH,16.5,63.7,75,D,L,,,,,,,
Goose Island,12,2,ASH,14.6,70.5,15,D,L,,,,,,,
Goose Island,12,3,OAK,8.6,60.1,50,D,L,,,,,,,
Goose Island,12,4,RB,14.6,61.6,4,D,L,,,,,,,
Goose Island,12,5,OAK,10.8,53.4,60,C,L,,,,,,,
Goose Island,12,6,ASH,23.7,73.2,30,D,L,,,,,,,
Goose Island,12,7,RB,18,71.6,80,C,L,,,,,,,
Goose Island,12,8,RB,14.9,71.6,80,C,L,,,,,,,
Goose Island,14,1,ASH,11.5,64.3,35,D,L,,,,,,,
Goose Island,14,2,SWO,11.3,55.2,75,C,L,,,,,,,
Goose Island,14,3,SWO,7.7,33.8,50,I,L,,,,,,,
Goose Island,14,4,SWO,10.3,54.1,30,I,L,,,,,,,
Goose Island,14,5,HB,12.6,70.5,90,D,L,,,,,,,
Goose Island,14,6,OAK,22.4,74.9,60,D,L,,,,,,,
Goose Island,14,7,ASH,10.3,57.1,75,C,L,,,,,,,
Goose Island,14,8,ASH,11.6,61.5,50,C,L,,,,,,,
Goose Island,14,9,ASH,10.4,61.5,50,C,L,,,,,,,
Goose Island,10,1,RB,14.2,39,45,S,L,,,,,,,
Goose Island,10,2,RB,19.3,57.4,60,D,L,,,,,,,
Goose Island,10,3,BE,6,21.7,80,S,L,,,,,,,
Goose Island,10,4,RB,21.1,66.6,70,D,L,,,,,,,
Goose Island,10,5,ASH,16,59.6,80,C,D,,,,,,,
Goose Island,10,6,RB,14.4,61.1,55,C,L,,,,,,,
Goose Island,10,7,HB,8.1,52,60,I,L,,,,,,,
Goose Island,13,1,RB,10.6,61.4,45,C,L,,,,,,,
Goose Island,13,2,OAK,14.5,49.6,30,I,L,,,,,,,
Goose Island,13,3,OAK,11.8,57.7,55,I,L,,,,,,,
Goose Island,13,4,OAK,13.7,67,45,C,L,,,,,,,
Goose Island,13,5,OAK,18.2,61.2,25,D,L,,,,,,,
Goose Island,13,6,OAK,21.1,66.3,35,C,L,,,,,,,
Goose Island,13,7,SWO,25.1,74.8,55,D,L,,,,,,,
Goose Island,13,8,AE,10.6,46.2,85,S,L,,,,,,,
Goose Island,13,9,SWO,32,67.3,45,D,L,,,,,,,
Goose Island,6,1,SWO,15.4,64.9,55,D,L,,,,,,,
Goose Island,6,2,ASH,10.6,54.4,25,C,L,,,,,,,
Goose Island,6,3,RB,21.9,68.2,40,D,L,,,,,,,
Goose Island,6,4,RB,14.1,50.5,70,C,L,,,,,,,
Goose Island,6,5,RB,7.3,40.6,50,I,L,,,,,,,
Goose Island,6,6,RB,6,36.2,90,S,L,,,,,,,
Goose Island,6,7,RB,8.9,40.2,90,I,L,,,,,,,
Goose Island,6,8,RB,8.2,52.6,80,D,L,,,,,,,
Goose Island,6,9,RB,12.7,52.6,80,D,L,,,,,,,
Goose Island,6,10,RB,10.2,49,85,I,L,,,,,,,
Goose Island,6,11,RB,10.3,58,80,C,L,,,,,,,
Goose Island,4,1,ASH,9.5,60.8,40,D,L,,,,,,,
Goose Island,4,2,RB,16,52,50,C,L,,,,,,,
Goose Island,4,3,RB,11.5,45.6,40,S,L,,,,,,,
Goose Island,4,4,OAK,20.9,87.2,45,D,L,,,,,,,
Goose Island,4,5,ASH,7.2,49.4,90,I,L,,,,,,,
Bagley Bottoms,4,1,ASH,19.4,55,40,C,L,BB,0412A,SM,,,1955,"""injuries"": 2000s, 1990s, 1980s, 1960s, 1950s"
Bagley Bottoms,4,2,SM,20,43,25,I,L,,,,,,,
Bagley Bottoms,4,3,SM,20.1,43,25,I,L,,,,,,,
Bagley Bottoms,4,4,SM,15.2,43,25,I,L,,,,,,,
Bagley Bottoms,4,5,SM,20,53,25,C,L,,,,,,,
Bagley Bottoms,4,6,AE,9.2,47,30,S,L,,,,,,,
Bagley Bottoms,4,7,SM,11.1,43,20,I,L,,,,,,,
Bagley Bottoms,4,8,SM,13.8,58,15,C,L,,,,,,,
Bagley Bottoms,4,9,SM,15,50,20,C,L,,,,,,,
Bagley Bottoms,4,10,SM,11.8,47,35,I,L,,,,,,,
Bagley Bottoms,4,11,SM,11.5,45,5,S,D,BB,0411B,SM,,,1963,"""injuries"": 1990s, 1970s, 1960s"
Bagley Bottoms,4,12,SM,18.7,52,30,D,L,BB,0412B,SM,,,1947,"""injuries"": 2000s, 1990s, 1980s, 1960s, 1950s, 1940s"
Bagley Bottoms,4,13,SM,21,46,40,I,L,,,,,,,
Bagley Bottoms,4,14,SM,15.1,46,40,I,L,,,,,,,
Bagley Bottoms,4,15,SM,31.8,59,25,D,L,,,,,,,
Bagley Bottoms,5,1,CW,24.4,63,15,D,L,,,,,,,
Bagley Bottoms,5,2,SM,5.5,45,60,S,L,,,,,,,
Bagley Bottoms,5,3,SM,19.1,60,35,C,L,,,,,,,
Bagley Bottoms,5,4,SM,22,32,70,S,L,,,,,,,
Bagley Bottoms,5,5,SM,21.3,57,40,C,L,,,,,,,
Bagley Bottoms,5,6,SM,14.3,54,35,I,L,,,,,,,
Bagley Bottoms,5,7,SM,15.1,51,20,C,L,,,,,,,
Bagley Bottoms,5,8,SM,6.5,44,85,S,L,,,,,,,
Bagley Bottoms,5,9,CW,34.3,65,20,D,L,BB,0509A,CW,,,1940.5,
Bagley Bottoms,5,10,SM,13.3,56,25,C,L,,,,,,,
Bagley Bottoms,5,11,SM,9.8,52,40,I,L,,,,,,,
Bagley Bottoms,10,1,SWO,26.1,62,50,D,L,,,,,,,
Bagley Bottoms,10,2,SWO,31,65,65,D,L,,,,,,,
Bagley Bottoms,10,3,HB,5.7,34,30,I,L,BB,1003B,HB,,,1979,
Bagley Bottoms,10,4,SWO,12.3,47,45,S,L,,,,,,,
Bagley Bottoms,10,5,SWO,19.9,48,80,I,L,,,,,,,
Bagley Bottoms,10,6,SM,11.6,51,40,C,L,,,,,,,
Bagley Bottoms,10,7,SM,8.6,29,65,S,L,,,,,,,
Bagley Bottoms,10,8,SM,11.1,43,25,I,L,,,,,,,
Bagley Bottoms,8,1,SM,8.1,47,30,S,L,,,,,,,
Bagley Bottoms,8,2,SM,20.9,59,35,D,L,BB,0802A,SM,,,1947,"""injuries"": 2010s, 2000s, 1990s, 1980s, 1970s, 1960s, 1950s, 1940s"
Bagley Bottoms,8,3,SM,14.3,56,50,I,L,,,,,,,
Bagley Bottoms,8,4,SM,16,60,20,I,L,,,,,,,
Bagley Bottoms,8,5,SM,7.2,36,50,S,L,,,,,,,
Bagley Bottoms,8,6,SM,14.5,53,55,S,L,,,,,,,
Bagley Bottoms,8,7,AE,11.6,31,75,C,L,,,,,,,
Bagley Bottoms,8,8,SM,8.4,32,0,C,D,,,,,,,
Bagley Bottoms,8,9,AE,7.2,27,80,C,L,,,,,,,
Bagley Bottoms,7,1,?,17.8,52,10,D,L,,,,,,,
Bagley Bottoms,7,2,ASH,6.7,39,40,S,L,,,,,,,
Bagley Bottoms,7,3,SM,18.7,60,35,C,L,,,,,,,
Bagley Bottoms,7,4,?,17.5,51,20,C,L,BB,0704B,Unknown,,,1953,
Bagley Bottoms,7,5,SM,13.7,46,15,I,L,,,,,,,
Bagley Bottoms,7,6,ASH,16.7,48,25,C,L,,,,,,,
Bagley Bottoms,7,7,SM,21.1,57,30,D,L,BB,0707B,SM,,,1951,"""injuries"": 1970s, 1960s, 1950s"
Bagley Bottoms,7,8,SM,13.6,46,15,I,L,BB,0708A,SM,,,1960,"""injuries"": 1970s, 1960s"
Bagley Bottoms,7,9,AE,6.6,34,65,S,L,,,,,,,
Bagley Bottoms,7,10,AE,7.7,40,20,I,L,,,,,,,
Bagley Bottoms,7,11,AE,11.2,48,40,I,L,,,,,,,
Bagley Bottoms,7,12,SM,20,55,35,C,L,BB,0712B,SM,,,1967,"""injuries"": 2000s, 1970s, 1960s"
Bagley Bottoms,7,13,SM,33.2,56,25,D,L,,,,,,,
Bagley Bottoms,9,1,SM,14.3,49,30,I,L,,,,,,,
Bagley Bottoms,9,2,SM,16.8,51,25,C,L,,,,,,,
Bagley Bottoms,9,3,SM,8.9,43,40,S,L,,,,,,,
Bagley Bottoms,9,4,CW,26.3,63,15,D,L,,,,,,,
Bagley Bottoms,9,5,SM,9.2,39,20,S,L,,,,,,,
Bagley Bottoms,9,6,SM,17.5,53,25,C,L,,,,,,,
Bagley Bottoms,9,7,AE,9.1,37,70,S,L,BB,0907A,ELM,,,1953,
Bagley Bottoms,9,8,SM,14.5,51,30,C,L,,,,,,,
Bagley Bottoms,9,9,SM,13.8,46,40,S,L,BB,0909B,SM,,,1946,"""injuries"": 1970s, 1960s"
Bagley Bottoms,9,10,SM,10.6,45,50,I,L,,,,,,,
Bagley Bottoms,9,11,SM,16,50,25,C,L,,,,,,,
Bagley Bottoms,9,12,SM,10.4,43,45,I,L,,,,,,,
Bagley Bottoms,9,13,SM,11.9,49,35,I,L,,,,,,,
Bagley Bottoms,9,14,SM,22.1,57,30,D,L,BB,0914B,SM,,,1938,"""injuries"": 2000s, 1990s, 1980s, 1960s, 1950s"
Bagley Bottoms,9,15,SM,11,46,50,I,L,,,,,,,
Bagley Bottoms,9,16,SM,17.6,55,35,C,L,,,,,,,
Bagley Bottoms,9,17,SM,7.6,37,50,S,L,,,,,,,
Bagley Bottoms,9,18,SM,19.7,57,30,D,L,,,,,,,
Bagley Bottoms,9,19,SM,14.7,56,30,D,L,BB,0919A,SM,,,1933,"""injuries"": 2010s, 1990s, 1980s, 1960s, 1950s"
Bagley Bottoms,2,1,AE,11.5,61.4,30,C,L,,,,,,,
Bagley Bottoms,2,2,AE,6.3,51.5,60,S,L,BB,0202A,ELM,,,1975.5,
Bagley Bottoms,2,3,SM,8.5,73.1,15,D,L,BB,0203A,SM,,,1971,"""injuries"": 1990s, 1980s"
Bagley Bottoms,2,4,AE,7.1,38.5,50,S,L,,,,,,,
Bagley Bottoms,2,5,SM,14.8,79.6,35,D,L,BB,0205A,SM,,,1974,"""injuries"": 1990s, 1980s, 1970s"
Bagley Bottoms,2,6,SM,12,60,30,I,L,,,,,,,
Bagley Bottoms,2,7,SM,13,74,20,C,L,,,,,,,
