Site,Plot,Tree #,Species,Species Ac,DBH (in),DBH Class (1 inch bin),Distance Feet,Distance Inches,Total Distance (ft),Azimuth,Height,Live Crown Ratio (%),Class,Status,Age,BA/tree (sq. ft),BA/acre,TPA
Bagley Bottoms,10,7,SM,,8.6,8,27,2,27.16666667,224,29,65,S,L,71,0.40337784,4.0337784,10
Bagley Bottoms,10,8,SM,,11.1,11,27,7,27.58333333,244,43,25,I,L,89,0.67198734,6.7198734,10
Bagley Bottoms,8,1,SM,,8.1,8,10,0,10,50,47,30,S,L,79,0.35783694,3.5783694,10
Bagley Bottoms,8,2,SM,,20.9,20,11,6,11.5,54,59,35,D,L,82,2.38236174,23.8236174,10
Bagley Bottoms,8,3,SM,,14.3,14,26,5,26.41666667,201,56,50,I,L,89,1.11528846,11.1528846,10
Bagley Bottoms,8,4,SM,,16,16,31,11,31.91666667,216,60,20,I,L,87,1.396224,13.96224,10
Bagley Bottoms,8,5,SM,,7.2,7,28,1,28.08333333,231,36,50,S,L,80,0.28273536,2.8273536,10
Bagley Bottoms,8,6,SM,,14.5,14,37,2,37.16666667,234,53,55,S,L,97,1.1467035,11.467035,10
Bagley Bottoms,8,7,AE,,11.6,11,11,9,11.75,290,31,75,C,L,39,0.73389024,7.3389024,10
Bagley Bottoms,8,8,SM,,8.4,8,37,2,37.16666667,307,32,0,C,D,NA,0.38483424,3.8483424,10
Bagley Bottoms,8,9,AE,,7.2,7,31,8,31.66666667,352,27,80,C,L,65,0.28273536,2.8273536,10
Bagley Bottoms,7,1,?,,17.8,17,35,11,35.91666667,50,52,10,D,L,62,1.72804536,17.2804536,10
Bagley Bottoms,7,2,ASH,,6.7,6,23,6,23.5,58,39,40,S,L,69,0.24483006,2.4483006,10
Bagley Bottoms,7,3,SM,,18.7,18,33,7,33.58333333,60,60,35,C,L,65,1.90720926,19.0720926,10
Bagley Bottoms,7,4,?,,17.5,17,36,9,36.75,63,51,20,C,L,63,1.6702875,16.702875,10
Bagley Bottoms,7,5,SM,,13.7,13,32,1,32.08333333,110,46,15,I,L,NA,1.02366126,10.2366126,10
Bagley Bottoms,7,6,ASH,,16.7,16,33,4,33.33333333,127,48,25,C,L,66,1.52106606,15.2106606,10
Bagley Bottoms,7,7,SM,,21.1,21,24,7,24.58333333,130,57,30,D,L,68,2.42817534,24.2817534,10
Bagley Bottoms,7,8,SM,,13.6,13,29,8,29.66666667,139,46,15,I,L,65,1.00877184,10.0877184,10
Bagley Bottoms,7,9,AE,,6.6,6,35,4,35.33333333,165,34,65,S,L,66,0.23757624,2.3757624,10
Bagley Bottoms,7,10,AE,,7.7,7,13,3,13.25,222,40,20,I,L,61,0.32336766,3.2336766,10
Bagley Bottoms,7,11,AE,,11.2,11,28,9,28.75,225,48,40,I,L,64,0.68414976,6.8414976,10
Bagley Bottoms,7,12,SM,,20,20,9,0,9,240,55,35,C,L,65,2.1816,21.816,10
Bagley Bottoms,7,13,SM,,33.2,33,28,11,28.91666667,344,56,25,D,L,NA,6.01161696,60.1161696,10
Bagley Bottoms,9,1,SM,,14.3,14,21,0,21,37,49,30,I,L,69,1.11528846,11.1528846,10
Bagley Bottoms,9,2,SM,,16.8,16,22,11,22.91666667,50,51,25,C,L,75,1.53933696,15.3933696,10
Bagley Bottoms,9,3,SM,,8.9,8,25,10,25.83333333,55,43,40,S,L,67,0.43201134,4.3201134,10
Bagley Bottoms,9,4,CW,,26.3,26,35,11,35.91666667,55,63,15,D,L,62,3.77247726,37.7247726,10
Bagley Bottoms,9,5,SM,,9.2,9,31,0,31,61,39,20,S,L,63,0.46162656,4.6162656,10
Bagley Bottoms,9,6,SM,,17.5,17,33,11,33.91666667,131,53,25,C,L,67,1.6702875,16.702875,10
Bagley Bottoms,9,7,AE,,9.1,9,14,7,14.58333333,136,37,70,S,L,84,0.45164574,4.5164574,10
Bagley Bottoms,9,8,SM,,14.5,14,26,5,26.41666667,148,51,30,C,L,77,1.1467035,11.467035,10
Bagley Bottoms,9,9,SM,,13.8,13,29,3,29.25,158,46,40,S,L,71,1.03865976,10.3865976,10
