xxxstd,tfd,Site
0.86770517,0.597560976,Indian Slough
0.744493962,0.134146341,Indian Slough
1.11580616,1.170731707,Indian Slough
1.179726743,13.34146341,Indian Slough
0.674003154,14.75842697,Goose Island
0.664461051,10.19101124,Goose Island
0.771540373,8.292134831,Goose Island
0.594294874,23.86516854,Goose Island
0.551033456,8.45505618,Goose Island
0.905650066,0,Goose Island
0.647686866,9.146067416,Goose Island
0.84694055,41.28089888,Goose Island
1.023766002,3.662921348,Goose Island
1.04042992,1.061797753,Goose Island
0.899547065,29.16853933,Goose Island
0.690215519,12.12359551,Goose Island
0.604716365,26.2247191,Goose Island
0.724095051,9.511235955,Goose Island
1.114059228,49.30898876,Goose Island
0.549075354,0,Goose Island
0.616628681,0,Goose Island
0.444610266,0.028089888,Goose Island
0.925331345,1.578651685,Goose Island
0.799229854,15.87640449,Goose Island
0.955269914,4.483146067,Goose Island
0.879211957,65.0505618,Goose Island
0.588800132,11.47191011,Goose Island
0.420635627,17.2247191,Goose Island
0.369160355,17.70224719,Goose Island
0.405795008,26.74719101,Goose Island
0.506073494,11.82022472,Goose Island
1.801021493,11.08426966,Goose Island
2.232187524,0.308988764,Goose Island
1.900135223,48.8988764,Goose Island
1.319203176,9.752808989,Goose Island
1.969363721,8.511235955,Goose Island
1.41952888,10.64044944,Goose Island
1.361113449,4.853932584,Goose Island
1.094246656,7.814606742,Goose Island
1.113932465,3.724719101,Goose Island
1.444642788,16.56741573,Goose Island
0.610061303,1.837078652,Goose Island
1.775254412,15.01123596,Goose Island
1.055072684,50.85955056,Goose Island
