xxxstd,tfd
0.924583696,12.0941098
0.879422161,10.01150789
0.869953319,6.445766504
0.801189797,21.88519198
0.796316059,8.548840599
1.001863018,0.009756098
0.984378766,6.438034146
0.858525976,31.66078979
0.605750249,1.605951122
0.849934886,0.378255999
1.032964635,23.09879249
1.178474073,11.24625787
1.096545422,24.46292093
1.111161933,11.4936797
1.160948821,49.04730565
0.597770524,0.009756098
0.522626392,0.029268293
0.562012353,0.722810603
0.620173295,1.95570502
1.09383919,13.9883859
0.782568613,6.648226703
1.851388084,63.38434036
0.954523514,10.60667402
0.703326066,11.18664912
0.651946614,18.5486342
0.503032743,28.33906819
0.724791898,12.45686991
1.656190614,10.98913202
0.605338209,0.872012059
1.859472035,48.56996867
0.518234936,14.18316889
0.782222111,10.80723103
0.95482512,10.55770585
0.913505388,6.45357725
0.804555482,8.909876134
0.531745479,3.590367084
0.743446645,18.67868248
0.378509909,2.18325572
0.447191455,11.82433213
1.582527214,45.90998837
0.972195386,20.85964912
0.868683035,12.73684211
1.006688056,13.61403509
1.014802794,31.35087719
0.586537773,10.1754386
0.822925017,0
1.185443972,12.12280702
1.294959035,36.98245614
0.833160988,2.175438596
1.094192665,0.280701754
1.097351448,36.14035088
1.240444821,18.70175439
1.527515568,41.59649123
1.104319866,22.98245614
1.594609011,67.22807018
0.977709852,0
0.507570773,0
0.547675652,1.228070175
0.981223073,6.122807018
1.28535332,35.22807018
1.08696367,17.70175439
2.140599961,100.8245614
0.977033852,23.22807018
0.670845669,30.77192982
0.862317266,35.21052632
0.616593289,42.49122807
0.577455014,20.56140351
0.903858629,24.07017544
0.655599577,2.561403509
1.854124205,67.29824561
0.58657396,37.42105263
0.493165924,26.84210526
0.700954058,19.28070175
0.789459013,23.07017544
0.735357013,25.24561404
0.707395169,8.421052632
0.985642801,30.92982456
0.442879385,7.614035088
0.943104553,27.87719298
1.707168771,79.71929825
0.707409312,13.00694444
0.794681843,25.24305556
0.773741179,6.006944444
0.650583273,21.125
0.625014097,14.56944444
0.839564483,0
0.879730839,7.347222222
1.108997017,44.09027778
0.965697218,2.069444444
1.029055507,0.5
1.242607531,24.90277778
1.180713323,12.18055556
1.137183613,29.95138889
1.113724697,17.27777778
1.12553562,52.04861111
0.921946955,0
0.532620035,0
0.733160715,2.173611111
0.962621976,1.881944444
1.07898085,12.57638889
1.176490518,8.527777778
1.012635048,83.1875
1.03571104,9.243055556
0.780782324,4.548611111
0.877640315,18.69444444
0.923912943,28.71527778
0.967389685,17.82638889
0.605160711,11.51388889
0.928840416,1.465277778
1.323737553,50.52083333
1.444317517,13.18055556
1.387675097,10.90277778
1.30502644,18.00694444
0.807509264,2.076388889
0.788208063,6.222222222
0.685368924,3.659722222
0.737727164,37.85416667
0.460015091,0.368055556
0.602164736,7.506944444
0.912895894,46.88888889
