Plot,Species,Count,Total Count,Density,TPA,Total TPA,%TPA,BA,Total BA,%BA,IV,RelMin,RelMax,RelRng,RelMn,MedFldDur,AveInun,AveDBH
BB1,ACSA,13,13,1,130,130,1,21.34079298,21.34079298,1,200,7.099999905,8,0.900000095,7.544444455,4,31.46944444,17.09230769
BB2,ACSA,9,13,0.692307692,90,130,0.692307692,8.84006136,19.18188162,0.460854755,115.3162448,8.5,9.100000381,0.600000381,8.738461641,8,18.803125,13.94444444
BB2,ULAM,4,13,0.307692308,40,130,0.307692308,10.34182026,19.18188162,0.539145245,84.68375524,8.5,9.100000381,0.600000381,8.738461641,8,18.803125,8
BB3,ACSA,9,16,0.5625,90,160,0.5625,11.12556006,16.87871196,0.659147457,122.1647457,10.5,11.60000038,1.100000381,11.03846158,6,5.834210526,15
BB3,FRPE,3,16,0.1875,30,160,0.1875,4.1464035,16.87871196,0.245658763,43.31587629,10.5,11.60000038,1.100000381,11.03846158,6,5.834210526,16.4
BB3,ULAM,4,16,0.25,40,160,0.25,1.6067484,16.87871196,0.09519378,34.51937804,10.5,11.60000038,1.100000381,11.03846158,6,5.834210526,9.7
BB4,ACSA,12,14,0.857142857,120,140,0.857142857,17.2878165,19.43276562,0.889622035,174.6764892,8.800000191,9.699999809,0.899999619,9.18749996,8,14.90333333,17.31538462
BB4,FRPE,1,14,0.071428571,10,140,0.071428571,1.19464416,19.43276562,0.061475766,13.29043378,8.800000191,9.699999809,0.899999619,9.18749996,8,14.90333333,19.4
BB4,ULAM,1,14,0.071428571,10,140,0.071428571,0.95030496,19.43276562,0.048902198,12.03307698,8.800000191,9.699999809,0.899999619,9.18749996,8,14.90333333,9.2
BB5,ACSA,9,11,0.818181818,90,110,0.818181818,11.63752704,12.96623052,0.897525848,171.5707666,9.399999619,10.5,1.100000381,9.714814787,9,12.10882353,14.1
BB5,PODE,2,11,0.181818182,20,110,0.181818182,1.32870348,12.96623052,0.102474152,28.4292334,9.399999619,10.5,1.100000381,9.714814787,9,12.10882353,29.35
BB7,?,2,13,0.153846154,20,130,0.153846154,3.6228195,18.02639718,0.200973021,35.48191749,8.399999619,9.399999619,1,8.880769106,9,17.34,17.65
BB7,ACSA,6,13,0.461538462,60,130,0.461538462,9.6931215,18.02639718,0.537718181,99.92566424,8.399999619,9.399999619,1,8.880769106,9,17.34,20.05
BB7,FRPE,2,13,0.153846154,20,130,0.153846154,1.707102,18.02639718,0.094700121,24.85462752,8.399999619,9.399999619,1,8.880769106,9,17.34,11.7
BB7,ULAM,3,13,0.230769231,30,130,0.230769231,3.00335418,18.02639718,0.166608677,39.73779075,8.399999619,9.399999619,1,8.880769106,9,17.34,8.5
BB8,ACSA,7,9,0.777777778,70,90,0.777777778,15.2046612,17.58484134,0.864645913,164.2423691,9.899999619,10.80000019,0.900000572,10.28461544,7,8.303571429,12.77142857
BB8,ULAM,2,9,0.222222222,20,90,0.222222222,2.38018014,17.58484134,0.135354087,35.7576309,9.899999619,10.80000019,0.900000572,10.28461544,7,8.303571429,9.4
BB9,ACSA,17,19,0.894736842,170,190,0.894736842,29.23333092,33.91613532,0.861929894,175.6666736,8,8.699999809,0.699999809,8.329166532,9,22.1125,13.91764706
BB9,PODE,1,19,0.052631579,10,190,0.052631579,2.13818616,33.91613532,0.063043331,11.56749104,8,8.699999809,0.699999809,8.329166532,9,22.1125,26.3
BB9,ULAM,1,19,0.052631579,10,190,0.052631579,2.54461824,33.91613532,0.075026775,12.76583535,8,8.699999809,0.699999809,8.329166532,9,22.1125,9.1
BB10,ACSA,3,8,0.375,30,80,0.375,3.02522472,11.20317048,0.270032909,64.50329095,6.900000095,9.600000381,2.700000286,8.608333389,11,19.725,10.43333333
BB10,CEOC,1,8,0.125,10,80,0.125,1.82649006,11.20317048,0.163033318,28.80333184,6.900000095,9.600000381,2.700000286,8.608333389,11,19.725,5.7
BB10,QUBI,4,8,0.5,40,80,0.5,3.96909396,11.20317048,0.354283099,85.42830993,6.900000095,9.600000381,2.700000286,8.608333389,11,19.725,22.325
BC1,FRPE,3,6,0.5,30,60,0.5,7.37020836,10.52578368,0.70020519,120.020519,9.899999619,11,1.100000381,10.24166663,8,8.333333333,9.533333333
BC1,PODE,1,6,0.166666667,10,60,0.166666667,1.98967374,10.52578368,0.189028561,35.56952274,9.899999619,11,1.100000381,10.24166663,8,8.333333333,34.6
BC1,TIAM,1,6,0.166666667,10,60,0.166666667,0.73389024,10.52578368,0.069723097,23.6389764,9.899999619,11,1.100000381,10.24166663,8,8.333333333,16.2
BC1,ULAM,1,6,0.166666667,10,60,0.166666667,0.43201134,10.52578368,0.041043152,20.77098187,9.899999619,11,1.100000381,10.24166663,8,8.333333333,8.9
BC2,ACSA,6,12,0.5,60,120,0.5,8.6759505,20.49345954,0.423352167,92.33521667,8.399999619,9,0.600000381,8.571999969,9,18.54444444,14.38333333
BC2,PODE,5,12,0.416666667,50,120,0.416666667,10.38616128,20.49345954,0.506803708,92.34703744,8.399999619,9,0.600000381,8.571999969,9,18.54444444,21.92
BC2,ULAM,1,12,0.083333333,10,120,0.083333333,1.43134776,20.49345954,0.069844125,15.31774588,8.399999619,9,0.600000381,8.571999969,9,18.54444444,5.9
GI2,ACSA,10,18,0.555555556,100,180,0.555555556,6.89483772,15.14646702,0.455210955,101.0766511,4.599999905,6.599999905,2,5.292000008,11,23.42272727,17.02
GI2,FRPE,2,18,0.111111111,20,180,0.111111111,3.38769756,15.14646702,0.223662558,33.47736692,4.599999905,6.599999905,2,5.292000008,11,23.42272727,7.9
GI2,PODE,5,18,0.277777778,50,180,0.277777778,4.61910168,15.14646702,0.304962317,58.2740095,4.599999905,6.599999905,2,5.292000008,11,23.42272727,22.36
GI2,ULAM,1,18,0.055555556,10,180,0.055555556,0.24483006,15.14646702,0.016164169,7.171972504,4.599999905,6.599999905,2,5.292000008,11,23.42272727,10.3
GI4,BENI,2,5,0.4,20,50,0.4,2.83024422,7.70666562,0.367246272,76.72462722,5.699999809,7.900000095,2.200000286,6.965384575,7,7.871590909,13.75
GI4,FRPE,2,5,0.4,20,50,0.4,4.51858446,7.70666562,0.586321593,98.63215926,5.699999809,7.900000095,2.200000286,6.965384575,7,7.871590909,8.35
GI4,QUEL,1,5,0.2,10,50,0.2,0.35783694,7.70666562,0.046432135,24.64321352,5.699999809,7.900000095,2.200000286,6.965384575,7,7.871590909,20.9
GI5,FRPE,3,7,0.428571429,30,70,0.428571429,7.96927572,13.23963954,0.60192543,103.0496858,8.100000381,8.100000381,0,8.100000381,8,3.275,21.6
GI5,ROPS,4,7,0.571428571,40,70,0.571428571,5.27036382,13.23963954,0.39807457,96.95031417,8.100000381,8.100000381,0,8.100000381,8,3.275,6.65
GI6,BENI,9,11,0.818181818,90,110,0.818181818,10.76243274,11.42089416,0.942345896,176.0527714,4.400000095,7.599999905,3.199999809,5.662962949,7,23.22368421,11.06666667
GI6,FRPE,1,11,0.090909091,10,110,0.090909091,0.28273536,11.42089416,0.024755974,11.5665065,4.400000095,7.599999905,3.199999809,5.662962949,7,23.22368421,10.6
GI6,QUBI,1,11,0.090909091,10,110,0.090909091,0.37572606,11.42089416,0.03289813,12.38072208,4.400000095,7.599999905,3.199999809,5.662962949,7,23.22368421,15.4
GI9,ACSA,1,12,0.083333333,10,120,0.083333333,0.28273536,13.27716306,0.021294862,10.46281957,6.300000191,7.5,1.199999809,6.915384604,7,7.41,14.8
GI9,CEOC,3,12,0.25,30,120,0.25,1.81383678,13.27716306,0.136613279,38.66132789,6.300000191,7.5,1.199999809,6.915384604,7,7.41,10.03333333
GI9,FRPE,7,12,0.583333333,70,120,0.583333333,10.92092598,13.27716306,0.822534598,140.5867931,6.300000191,7.5,1.199999809,6.915384604,7,7.41,9.028571429
GI9,QUEL,1,12,0.083333333,10,120,0.083333333,0.25966494,13.27716306,0.019557261,10.28905941,6.300000191,7.5,1.199999809,6.915384604,7,7.41,26
GI10,ACNE,1,7,0.142857143,10,70,0.142857143,0.45164574,8.39850552,0.053776918,19.66340605,4.699999809,5.800000191,1.100000381,5.267999935,11,23.95666667,6
GI10,BENI,4,7,0.571428571,40,70,0.571428571,4.36985388,8.39850552,0.520313271,109.1741843,4.699999809,5.800000191,1.100000381,5.267999935,11,23.95666667,17.25
GI10,CEOC,1,7,0.142857143,10,70,0.142857143,1.19464416,8.39850552,0.14224485,28.51019931,4.699999809,5.800000191,1.100000381,5.267999935,11,23.95666667,8.1
GI10,FRPE,1,7,0.142857143,10,70,0.142857143,2.38236174,8.39850552,0.283664961,42.65221038,4.699999809,5.800000191,1.100000381,5.267999935,11,23.95666667,16
GI12,BENI,3,8,0.375,30,80,0.375,4.6560798,12.67869564,0.367236499,74.22364991,5.099999905,6.699999809,1.599999905,6.045833349,8,14.52236842,15.83333333
GI12,FRPE,3,8,0.375,30,80,0.375,7.67955924,12.67869564,0.605705781,98.07057806,5.099999905,6.699999809,1.599999905,6.045833349,8,14.52236842,18.26666667
GI12,QUEL,2,8,0.25,20,80,0.25,0.3430566,12.67869564,0.02705772,27.70577203,5.099999905,6.699999809,1.599999905,6.045833349,8,14.52236842,9.7
