Site,Plot,Tree #,Species,DBH (in),Distance Feet,Distance Inches,Total Distance (ft),Azimuth,Height,Live Crown Ratio (%),Class,Status
Indian Slough,2,1,AE,12.2,23,10,23.83333333,32,57.1,50,D,L
Indian Slough,2,2,ASH,"A17.3, B20.3",16,10,16.83333333,174,50.5,80,D,L
Indian Slough,2,3,ASH,15.6,23,6,23.5,219,36.7,30,D,L
Indian Slough,2,4,CW,33.3,30,7,30.58333333,254,90,50,D,L
Indian Slough,2,5,SM,26.2,27,0,27,272,64.7,60,I,L
Indian Slough,2,6,SM,31.6,11,9,11.75,278,89.6,40,D,L
Indian Slough,3,1,HB,10.3,21,10,21.83333333,1,68.6,50,I,L
Indian Slough,3,2,SM,32.9,25,0,25,30,67.4,40,D,L
Indian Slough,3,3,SM,18.1,27,11,27.91666667,58,77.3,30,C,L
Indian Slough,3,4,SM,9.2,31,6,31.5,58,37.8,60,I,L
Indian Slough,3,5,ASH,7.6,29,9,29.75,104,29.9,50,S,L
Indian Slough,3,6,HB,9.1,26,9,26.75,116,58.4,60,C,L
Indian Slough,3,7,HB,9.9,24,11,24.91666667,141,45.4,30,C,L
Indian Slough,3,8,HB,14.9,8,9,8.75,188,60.9,50,D,L
Indian Slough,3,9,ASH,10.7,9,7,9.583333333,206,42.6,70,S,L
Indian Slough,3,10,HB,7.3,25,6,25.5,270,38.7,70,S,L
Indian Slough,3,11,HB,7.4,18,10,18.83333333,326,40.9,30,S,L
Great River Harbor,1,1,SM,A9.2/B8.7,20,5,20.41666667,238,67.1,60,D,L
Great River Harbor,1,2,SM,7.6,15,10,15.83333333,286,60.4,40,C,L
Great River Harbor,1,3,SM,7.7,23,10,23.83333333,288,55.1,20,I,L
Great River Harbor,1,4,SM,8.7,25,5,25.41666667,306,51.7,15,S,L
Great River Harbor,1,5,SM,A9.1/5.0,34,0,34,310,48.4,35,S,L
Great River Harbor,1,6,SM,13.7,35,7,35.58333333,352,55.7,40,I,L
Great River Harbor,1,7,ASH,8.7,22,7,22.58333333,26,54.7,15,I,L
Great River Harbor,1,8,SM,10,33,5,33.41666667,35,58.9,20,C,L
Great River Harbor,1,9,ASH,8.7,27,6,27.5,76,49.9,50,S,L
Great River Harbor,1,10,AE,18.6,22,2,22.16666667,108,60.6,40,D,L
Great River Harbor,1,11,ASH,8,19,0,19,132,51.5,30,S,L
Great River Harbor,1,12,ASH,7.1,21,2,21.16666667,146,32.9,5,S,D
Great River Harbor,2,1,ASH,16.7,34,8,34.66666667,12,85.3,25,D,L
Great River Harbor,2,2,CW,41.4,5,0,5,119,114.8,20,D,L
Great River Harbor,2,3,CW,30.8,21,2,21.16666667,119,91.8,20,D,L
Great River Harbor,2,4,BE,6.5,18,0,18,148,40.7,90,S,L
Great River Harbor,2,5,ASH,6.1,29,7,29.58333333,184,41.5,70,S,L
Great River Harbor,2,6,SM,21,35,9,35.75,192,67.8,30,C,L
Great River Harbor,2,7,SM,10,31,0,31,219,66.2,80,I,L
Great River Harbor,2,8,BE,7.2,23,6,23.5,236,40.3,15,S,D
Great River Harbor,2,9,SM,15.6,26,6,26.5,280,63.4,30,C,L
Great River Harbor,2,10,SM,19.3,19,3,19.25,324,61.3,30,C,L
Great River Harbor,2,11,SM,6,7,11,7.916666667,330,34.7,10,S,D
Great River Harbor,2,12,SM,18.2,10,11,10.91666667,344,71.3,50,I,L
Great River Harbor,3,1,SM,9.1,5,4,5.333333333,342,62,80,I,L
Great River Harbor,3,2,SM,8.8,8,3,8.25,6,50.9,80,I,L
Great River Harbor,3,3,SM,10.4,28,5,28.41666667,39,53.3,30,C,L
Great River Harbor,3,4,SM,11.6,3,8,3.666666667,70,57.8,70,I,L
Great River Harbor,3,5,SM,15.5,12,3,12.25,140,61.3,40,C,L
Great River Harbor,3,6,SM,13.6,15,11,15.91666667,161,55.7,30,C,L
Great River Harbor,3,7,ASH,7.2,31,6,31.5,159,58.4,50,C,L
Great River Harbor,3,8,SM,A16.3/B7.2,23,2,23.16666667,66,45.8,50,I,L
Great River Harbor,3,9,SM,9.9,7,0,7,196,48.4,60,S,L
Great River Harbor,3,10,SM,23,27,1,27.08333333,218,52.2,65,D,L
Great River Harbor,3,11,CW,33.7,0,6,0.5,216,84.9,15,D,L
Great River Harbor,3,12,SM,7.9,16,6,16.5,314,36.9,75,S,L
Great River Harbor,3,13,CW,40.3,28,7,28.58333333,328,118.6,25,D,L
Great River Harbor,4,1,BW,27.6,24,0,24,28,61.1,35,D,L
Great River Harbor,4,2,SM,23.5,31,6,31.5,71,66.9,40,D,L
Great River Harbor,4,3,ASH,5.9,32,1,32.08333333,87,34.1,60,I,L
Great River Harbor,4,4,SM,36.6,35,8,35.66666667,155,70.6,55,D,L
Great River Harbor,4,5,BW,A8.5/B5.8,33,6,33.5,248,49.9,60,S,L
Great River Harbor,4,6,OAK,39,8,11,8.916666667,270,79.9,40,D,L
Great River Harbor,4,7,BW,14,28,1,28.08333333,332,76.9,60,C,L
Goose Island,2,1,ASH,6.7,21,0,21,31,35.2,80,S,L
Goose Island,2,2,CW,18.3,20,2,20.16666667,44,61.2,10,D,L
Goose Island,2,3,CW,16.7,14,7,14.58333333,44,75.9,10,D,L
Goose Island,2,4,SM,18.5,9,1,9.083333333,55,70.5,40,C,L
Goose Island,2,5,ASH,9.1,14,11,14.91666667,61,53.6,50,I,L
Goose Island,2,6,SM,25.9,27,10,27.83333333,85,57,75,I,L
Goose Island,2,7,CW,26.6,11,2,11.16666667,136,87.3,15,D,L
Goose Island,2,8,AE,10.3,21,9,21.75,161,32,80,S,L
Goose Island,2,9,CW,20.8,28,2,28.16666667,170,64.3,25,D,L
Goose Island,2,10,SM,A 19.7/ B 22.0,24,5,24.41666667,202,86.6,45,D,L
Goose Island,2,11,SM,12.9,36,11,36.91666667,220,47.2,70,S,L
Goose Island,2,12,SM,19.5,37,1,37.08333333,251,68.2,35,C,L
Goose Island,2,13,SM,6.7,23,10,23.83333333,288,28.4,80,S,L
Goose Island,2,14,SM,14.7,36,4,36.33333333,318,49.6,40,I,L
Goose Island,2,15,SM,18.1,34,7,34.58333333,324,52,45,I,L
Goose Island,2,16,CW,29.4,29,0,29,338,100.2,20,D,L
Goose Island,2,17,SM,12.2,26,6,26.5,341,45.4,85,S,L
Goose Island,5,1,ASH,20.7,6,11,6.916666667,347,64.4,15,D,L
Goose Island,5,2,ASH,20,25,7,25.58333333,76,72.5,20,D,L
Goose Island,5,3,BL,5,26,5,26.41666667,98,34.9,60,I,L
Goose Island,5,4,BL,6.5,24,0,24,103,51.1,30,I,L
Goose Island,5,5,BL,9.1,36,3,36.25,126,45.4,20,C,L
Goose Island,5,6,BL,6,22,8,22.66666667,127,49.5,15,C,L
Goose Island,5,7,ASH,24.1,32,6,32.5,259,75.6,15,D,L
Goose Island,9,1,SM,14.8,23,0,23,22,68.7,60,C,L
Goose Island,9,2,ASH,6.9,12,8,12.66666667,35,57.2,20,C,L
Goose Island,9,3,ASH,5.9,23,2,23.16666667,35,47.6,65,S,L
Goose Island,9,4,ASH,5.3,4,0,4,56,43.6,30,S,L
Goose Island,9,5,OAK,26,32,7,32.58333333,71,82.8,35,D,L
Goose Island,9,6,HB,7.6,23,7,23.58333333,101,48,80,S,L
Goose Island,9,7,ASH,1.5,28,7,28.58333333,113,57.3,30,C,L
Goose Island,9,8,HB,13.4,20,0,20,117,60.9,40,C,L
Goose Island,9,9,ASH,14.5,33,0,33,176,68.4,55,D,L
Goose Island,9,10,ASH,7.5,24,8,24.66666667,245,54.1,80,I,L
Goose Island,9,11,ASH,8.1,20,6,20.5,305,39.2,10,S,L
Goose Island,9,12,HB,9.1,26,8,26.66666667,346,51.7,35,I,L
Goose Island,12,1,ASH,16.5,24,10,24.83333333,76,63.7,75,D,L
Goose Island,12,2,ASH,14.6,21,0,21,158,70.5,15,D,L
Goose Island,12,3,OAK,8.6,27,3,27.25,162,60.1,50,D,L
Goose Island,12,4,RB,14.6,26,8,26.66666667,219,61.6,4,D,L
Goose Island,12,5,OAK,10.8,36,0,36,226,53.4,60,C,L
Goose Island,12,6,ASH,23.7,12,0,12,251,73.2,30,D,L
Goose Island,12,7,RB,A18.0/B14.9,14,9,14.75,333,71.6,80,C,L
Goose Island,14,1,ASH,11.5,20,0,20,26,64.3,35,D,L
Goose Island,14,2,SWO,11.3,33,4,33.33333333,93,55.2,75,C,L
Goose Island,14,3,SWO,7.7,32,7,32.58333333,123,33.8,50,I,L
Goose Island,14,4,SWO,10.3,36,5,36.41666667,154,54.1,30,I,L
Goose Island,14,5,HB,12.6,21,3,21.25,163,70.5,90,D,L
Goose Island,14,6,OAK,22.4,34,0,34,205,74.9,60,D,L
Goose Island,14,7,ASH,10.3,3,5,3.416666667,236,57.1,75,C,L
Goose Island,14,8,ASH,A11.6/B10.4,4,0,4,307,61.5,50,C,L
Goose Island,10,1,RB,14.2,35,8,35.66666667,8,39,45,S,L
Goose Island,10,2,RB,19.3,32,0,32,192,57.4,60,D,L
Goose Island,10,3,BE,6,19,0,19,204,21.7,80,S,L
Goose Island,10,4,RB,21.1,30,3,30.25,218,66.6,70,D,L
Goose Island,10,5,ASH,16,6,2,6.166666667,264,59.6,80,C,D
Goose Island,10,6,RB,14.4,10,7,10.58333333,348,61.1,55,C,L
Goose Island,10,7,HB,8.1,25,0,25,354,52,60,I,L
Goose Island,13,1,RB,10.6,17,11,17.91666667,56,61.4,45,C,L
Goose Island,13,2,OAK,14.5,31,7,31.58333333,54,49.6,30,I,L
Goose Island,13,3,OAK,11.8,29,10,29.83333333,71,57.7,55,I,L
Goose Island,13,4,OAK,13.7,37,3,37.25,96,67,45,C,L
Goose Island,13,5,OAK,18.2,15,4,15.33333333,111,61.2,25,D,L
Goose Island,13,6,OAK,21.1,19,4,19.33333333,147,66.3,35,C,L
Goose Island,13,7,SWO,25.1,4,3,4.25,240,74.8,55,D,L
Goose Island,13,8,AE,10.6,35,5,35.41666667,240,46.2,85,S,L
Goose Island,13,9,SWO,32,34,7,34.58333333,278,67.3,45,D,L
Goose Island,6,1,SWO,15.4,14,0,14,38,64.9,55,D,L
Goose Island,6,2,ASH,10.6,3,3,3.25,63,54.4,25,C,L
Goose Island,6,3,RB,21.9,17,5,17.41666667,107,68.2,40,D,L
Goose Island,6,4,RB,14.1,26,3,26.25,192,50.5,70,C,L
Goose Island,6,5,RB,7.3,17,9,17.75,235,40.6,50,I,L
Goose Island,6,6,RB,6,29,0,29,223,36.2,90,S,L
Goose Island,6,7,RB,8.9,33,7,33.58333333,238,40.2,90,I,L
Goose Island,6,8,RB,A8.2/B12.7,35,7,35.58333333,264,52.6,80,D,L
Goose Island,6,9,RB,10.2,23,6,23.5,273,49,85,I,L
Goose Island,6,10,RB,10.3,24,3,24.25,370,58,80,C,L
Goose Island,4,1,ASH,9.5,7,8,7.666666667,18,60.8,40,D,L
Goose Island,4,2,RB,160,31,0,31,138,52,50,C,L
Goose Island,4,3,RB,11.5,16,8,16.66666667,225,45.6,40,S,L
Goose Island,4,4,OAK,20.9,30,9,30.75,233,87.2,45,D,L
Goose Island,4,5,ASH,7.2,14,2,14.16666667,256,49.4,90,I,L
Bagley Bottoms,4,1,ASH,19.4,32,2,32.16666667,79,55,40,C,L
Bagley Bottoms,4,2,SM,A20.0/B20.1/C15.2,26,4,26.33333333,97,43,25,I,L
Bagley Bottoms,4,3,SM,20,35,8,35.66666667,164,53,25,C,L
Bagley Bottoms,4,4,AE,9.2,29,3,29.25,174,47,30,S,L
Bagley Bottoms,4,5,SM,11.1,31,3,31.25,182,43,20,I,L
Bagley Bottoms,4,6,SM,13.8,21,9,21.75,188,58,15,C,L
Bagley Bottoms,4,7,SM,15,24,11,24.91666667,191,50,20,C,L
Bagley Bottoms,4,8,SM,11.8,19,11,19.91666667,195,47,35,I,L
Bagley Bottoms,4,9,SM,11.5,10,3,10.25,224,45,5,S,D
Bagley Bottoms,4,10,SM,18.7,24,3,24.25,256,52,30,D,L
Bagley Bottoms,4,11,SM,A21.0/B15.1,19,10,19.83333333,280,46,40,I,L
Bagley Bottoms,4,12,SM,31.8,5,6,5.5,322,59,25,D,L
Bagley Bottoms,5,1,CW,24.4,32,0,32,37,63,15,D,L
Bagley Bottoms,5,2,SM,5.5,33,0,33,42,45,60,S,L
Bagley Bottoms,5,3,SM,19.1,25,4,25.33333333,72,60,35,C,L
Bagley Bottoms,5,4,SM,2.2,24,6,24.5,116,32,70,S,L
Bagley Bottoms,5,5,SM,21.3,33,6,33.5,116,57,40,C,L
Bagley Bottoms,5,6,SM,14.3,28,10,28.83333333,186,54,35,I,L
Bagley Bottoms,5,7,SM,15.1,33,5,33.41666667,221,51,20,C,L
Bagley Bottoms,5,8,SM,6.5,22,5,22.41666667,252,44,85,S,L
Bagley Bottoms,5,9,CW,34.3,32,4,32.33333333,253,65,20,D,L
Bagley Bottoms,5,10,SM,13.3,27,6,27.5,264,56,25,C,L
Bagley Bottoms,5,11,SM,9.8,23,4,23.33333333,284,52,40,I,L
Bagley Bottoms,10,1,SWO,26.1,20,0,20,31,TAT62,50,D,L
Bagley Bottoms,10,2,SWO,31,8,10,8.833333333,45,65,65,D,L
Bagley Bottoms,10,3,HB,5.7,27,11,27.91666667,111,34,30,I,L
Bagley Bottoms,10,4,SWO,12.3,34,3,34.25,134,47,45,S,L
Bagley Bottoms,10,5,SWO,19.9,22,5,22.41666667,138,48,80,I,L
Bagley Bottoms,10,6,SM,11.6,22,5,22.41666667,202,51,40,C,L
Bagley Bottoms,10,7,SM,8.6,27,2,27.16666667,224,29,65,S,L
Bagley Bottoms,10,8,SM,11.1,27,7,27.58333333,244,43,25,I,L
Bagley Bottoms,8,1,SM,8.1,10,0,10,50,47,30,S,L
Bagley Bottoms,8,2,SM,20.9,11,6,11.5,54,59,35,D,L
Bagley Bottoms,8,3,SM,14.3,26,5,26.41666667,201,56,50,I,L
Bagley Bottoms,8,4,SM,16,31,11,31.91666667,216,60,20,I,L
Bagley Bottoms,8,5,SM,7.2,28,1,28.08333333,231,36,50,S,L
Bagley Bottoms,8,6,SM,14.5,37,2,37.16666667,234,53,55,S,L
Bagley Bottoms,8,7,AE,11.6,11,9,11.75,290,31,75,C,L
Bagley Bottoms,8,8,SM,8.4,37,2,37.16666667,307,32,0,C,D
Bagley Bottoms,8,9,AE,7.2,31,8,31.66666667,352,27,80,C,L
Bagley Bottoms,7,1,?,17.8,35,11,35.91666667,50,52,10,D,L
Bagley Bottoms,7,2,ASH,6.7,23,6,23.5,58,39,40,S,L
Bagley Bottoms,7,3,SM,18.7,33,7,33.58333333,60,60,35,C,L
Bagley Bottoms,7,4,?,17.5,36,9,36.75,63,51,20,C,L
Bagley Bottoms,7,5,SM,13.7,32,1,32.08333333,110,46,15,I,L
Bagley Bottoms,7,6,ASH,16.7,33,4,33.33333333,127,48,25,C,L
Bagley Bottoms,7,7,SM,21.1,24,7,24.58333333,130,57,30,D,L
Bagley Bottoms,7,8,SM,13.6,29,8,29.66666667,139,46,15,I,L
Bagley Bottoms,7,9,AE,6.6,35,4,35.33333333,165,34,65,S,L
Bagley Bottoms,7,10,AE,7.7,13,3,13.25,222,40,20,I,L
Bagley Bottoms,7,11,AE,11.2,28,9,28.75,225,48,40,I,L
Bagley Bottoms,7,12,SM,20,9,0,9,240,55,35,C,L
Bagley Bottoms,7,13,SM,33.2,28,11,28.91666667,344,56,25,D,L
Bagley Bottoms,9,1,SM,14.3,21,0,21,37,49,30,I,L
Bagley Bottoms,9,2,SM,16.8,22,11,22.91666667,50,51,25,C,L
Bagley Bottoms,9,3,SM,8.9,25,10,25.83333333,55,43,40,S,L
Bagley Bottoms,9,4,CW,26.3,35,11,35.91666667,55,63,15,D,L
Bagley Bottoms,9,5,SM,9.2,31,0,31,61,39,20,S,L
Bagley Bottoms,9,6,SM,17.5,33,11,33.91666667,131,53,25,C,L
Bagley Bottoms,9,7,AE,9.1,14,7,14.58333333,136,37,70,S,L
Bagley Bottoms,9,8,SM,14.5,26,5,26.41666667,148,51,30,C,L
Bagley Bottoms,9,9,SM,13.8,29,3,29.25,158,46,40,S,L
Bagley Bottoms,9,10,SM,10.6,29,8,29.66666667,169,45,50,I,L
Bagley Bottoms,9,11,SM,16,23,8,23.66666667,206,50,25,C,L
Bagley Bottoms,9,12,SM,10.4,26,11,26.91666667,226,43,45,I,L
Bagley Bottoms,9,13,SM,11.9,36,10,36.83333333,250,49,35,I,L
Bagley Bottoms,9,14,SM,22.1,13,0,13,254,57,30,D,L
Bagley Bottoms,9,15,SM,11,32,10,32.83333333,300,46,50,I,L
Bagley Bottoms,9,16,SM,17.6,35,1,35.08333333,319,55,35,C,L
Bagley Bottoms,9,17,SM,7.6,31,8,31.66666667,335,37,50,S,L
Bagley Bottoms,9,18,SM,19.7,13,9,13.75,348,57,30,D,L
Bagley Bottoms,9,19,SM,14.7,27,7,27.58333333,354,56,30,D,L
Bagley Bottoms,2,1,AE,11.5,31,2,31.16666667,71,61.4,30,C,L
Bagley Bottoms,2,2,AE,6.3,24,8,24.66666667,80,51.5,60,S,L
Bagley Bottoms,2,3,SM,8.5,36,11,36.91666667,124,73.1,15,D,L
Bagley Bottoms,2,4,AE,7.1,26,5,26.41666667,130,38.5,50,S,L
Bagley Bottoms,2,5,SM,14.8,24,9,24.75,147,79.6,35,D,L
Bagley Bottoms,2,6,SM,12,17,0,17,162,60,30,I,L
Bagley Bottoms,2,7,SM,13,11,10,11.83333333,185,74,20,C,L
Bagley Bottoms,2,8,SM,15.5,36,10,36.83333333,186,99.8,20,D,L
Bagley Bottoms,2,9,SM,22,18,8,18.66666667,220,95.1,30,D,L
Bagley Bottoms,2,10,SM,6,30,10,30.83333333,234,44.1,50,S,L
Bagley Bottoms,2,11,AE,7.1,33,2,33.16666667,251,36.9,70,S,L
Bagley Bottoms,2,12,SM,13.9,22,8,22.66666667,256,75.6,50,I,L
Bagley Bottoms,2,13,SM,19.8,21,11,21.91666667,308,96.5,30,D,L
Bagley Bottoms,3,1,ASH,18.3,28,1,28.08333333,8,75.3,30,C,L
Bagley Bottoms,3,2,SM,13.3,11,5,11.41666667,26,65.7,25,I,L
Bagley Bottoms,3,3,SM,15.4,13,2,13.16666667,58,66,50,C,L
Bagley Bottoms,3,4,SM,12.1,14,2,14.16666667,62,59.8,40,I,L
Bagley Bottoms,3,5,SM,6.4,14,8,14.66666667,67,50,60,S,L
Bagley Bottoms,3,6,ASH,7.9,16,6,16.5,46,45.1,35,S,L
Bagley Bottoms,3,7,SM,22.2,32,6,32.5,99,79.3,45,C,L
Bagley Bottoms,3,8,SM,20.7,26,2,26.16666667,181,75.7,60,C,L
Bagley Bottoms,3,9,ASH,23,23,4,23.33333333,183,77,15,D,L
Bagley Bottoms,3,10,AE,9.3,33,6,33.5,198,64.9,75,C,L
Bagley Bottoms,3,11,SM,15.8,36,1,36.08333333,253,82.1,20,D,L
Bagley Bottoms,3,12,SM,21.1,33,4,33.33333333,290,87.5,30,D,L
