Site,Plot,??tpa,acnetpa,acsatpa,benitpa,ceoctpa,frpetpa,podetpa,qubitpa,queltpa,ropstpa,tiamtpa,ulamtpa,tpatot,??%tpa,acne%tpa,acsa%tpa,beni%tpa,ceoc%tpa,frpe%tpa,pode%tpa,qubi%tpa,quel%tpa,rops%tpa,tiam%tpa,ulam%tpa,??ba,acneba,acsaba,beniba,ceocba,frpeba,podeba,qubiba,quelba,ropsba,tiamba,ulamba,batot,??%ba,acne%ba,acsa%ba,beni%ba,ceoc%ba,frpe%ba,pode%ba,qubi%ba,quel%ba,rops%ba,tiam%ba,ulam%ba,??iv,acneiv,acsaiv,beniiv,ceociv,frpeiv,podeiv,qubiiv,queliv,ropsiv,tiamiv,ulamiv,ivtot,??md,acnemd,acsamd,benimd,ceocmd,frpemd,podemd,qubimd,quelmd,ropsmd,tiammd,ulammd,totmd,??qmd,acneqmd,acsaqmd,beniqmd,ceocqmd,frpeqmd,podeqmd,qubiqmd,quelqmd,ropsqmd,tiamqmd,ulamqmd,totqmd,Shan,Simp,Rich
Great River Harbor,GR03,0,0,110,0,0,10,20,0,0,0,0,0,140,0,0,78.57142857,0,0,7.142857143,14.28571429,0,0,0,0,0,0,0,34.05188538,0,0,1.02366126,0.43337484,0,0,0,0,0,35.50892148,0,0,95.89670415,0,0,2.882828364,1.220467482,0,0,0,0,0,0,0,174.4681327,0,0,10.02568551,15.50618177,0,0,0,0,0,200,0,0,12.11818182,0,0,7.2,37,0,0,0,0,0,15.32142857,0,0,12.91626881,0,0,7.2,37.14687066,0,0,0,0,0,18.2184169,1.083575524,1.555555556,3
Great River Harbor,GR04,0,0,20,0,0,10,0,0,10,0,40,0,80,0,0,25,0,0,12.5,0,0,12.5,0,50,0,0,0,9.364518,0,0,0.41281326,0,0,2.405214,0,4.03192404,0,16.2144693,0,0,57.75408265,0,0,2.545956037,0,0,14.83375099,0,24.86621033,0,0,0,82.75408265,0,0,15.04595604,0,0,27.33375099,0,74.86621033,0,200,0,0,30.05,0,0,5.9,0,0,39,0,13.975,0,20.1125,0,0,30.7555686,0,0,5.9,0,0,39,0,16.30682373,0,23.74676294,1.386294361,2.909090909,4
Indian Slough,IS01,0,0,30,40,40,0,0,0,0,0,0,0,110,0,0,27.27272727,36.36363636,36.36363636,0,0,0,0,0,0,0,0,0,1.51070346,3.01508028,15.672069,0,0,0,0,0,0,0,20.19785274,0,0,7.479525074,14.92772682,14.92772682,0,0,0,0,0,0,0,0,0,34.75225235,51.29136318,113.9563845,0,0,0,0,0,0,0,200,0,0,21.3,6.2,7.55,0,0,0,0,0,0,0,10.80909091,0,0,21.3629742,6.330481814,7.747580267,0,0,0,0,0,0,0,12.68331044,1.083575524,2.951219512,3
Indian Slough,IS02,0,0,20,0,0,30,10,0,0,0,0,10,70,0,0,28.57142857,0,0,42.85714286,14.28571429,0,0,0,0,14.28571429,0,0,1.74538908,0,0,0.5085855,0.6013035,0,0,0,0,0.17720046,3.03247854,0,0,57.55651877,0,0,16.77128109,19.82878006,0,0,0,0,5.843420082,0,0,86.12794734,0,0,59.62842395,34.11449434,0,0,0,0,20.12913437,200,0,0,28.9,0,0,17.73333333,33.3,0,0,0,0,12.2,22.35714286,0,0,29.02585055,0,0,17.83946935,33.3,0,0,0,0,12.2,23.5962164,1.386294361,3.266666667,4
Indian Slough,IS03,0,0,30,0,60,20,0,0,0,0,0,0,110,0,0,27.27272727,0,0,18.18181818,0,0,0,0,0,0,0,0,1.21373316,0,11.47559778,0.6370272,0,0,0,0,0,0,13.32635814,0,0,9.107763331,0,0,4.780204714,0,0,0,0,0,0,0,0,36.3804906,0,140.6574865,22.9620229,0,0,0,0,0,0,200,0,0,20.06666667,0,9.816666667,9.15,0,0,0,0,0,0,12.49090909,0,0,22.32084228,0,10.14043063,9.280355597,0,0,0,0,0,0,14.40921422,1.083575524,2.469387755,3
Indian Slough,IS04,0,0,70,0,10,20,0,0,0,0,0,0,100,0,0,70,0,0,20,0,0,0,0,0,0,0,0,12.67111458,0,6.04788606,2.2702275,0,0,0,0,0,0,20.98922814,0,0,60.36960719,0,0,10.81615524,0,0,0,0,0,0,0,0,130.3696072,0,38.81423757,30.81615524,0,0,0,0,0,0,200,0,0,15.94285714,0,9.5,14.35,0,0,0,0,0,0,14.98,0,0,17.2026576,0,9.5,14.80692406,0,0,0,0,0,0,16.1253217,1.083575524,1.851851852,3
Lake Rebecca,LR01,0,20,0,0,0,30,110,0,0,0,0,40,200,0,10,0,0,0,15,55,0,0,0,0,20,0,1.09892646,0,0,0,2.36883582,5.86964934,0,0,0,0,2.01372588,11.3511375,0,9.681201201,0,0,0,20.86870871,51.70978979,0,0,0,0,17.7403003,0,19.6812012,0,0,0,35.86870871,106.7097898,0,0,0,0,37.7403003,200,0,6.95,0,0,0,8.533333333,17.4,0,0,0,0,6.75,12.895,0,7.079901129,0,0,0,9.077077356,18.08349323,0,0,0,0,6.88149693,14.37704768,1.386294361,2.547770701,4
Lake Rebecca,LR02,0,0,270,0,0,10,10,0,0,0,0,10,300,0,0,90,0,0,3.333333333,3.333333333,0,0,0,0,3.333333333,0,0,31.94445978,0,0,1.24356654,0.18985374,0,0,0,0,0.95030496,34.32818502,0,0,93.0560697,0,0,3.622581675,0.553054989,0,0,0,0,2.768293632,0,0,183.0560697,0,0,6.955915009,3.886388323,0,0,0,0,6.101626966,200,0,0,9.388888889,0,0,12.7,61.8,0,0,0,0,10.1,11.27,0,0,9.991496384,0,0,12.7,61.8,0,0,0,0,10.1,15.03102347,1.386294361,1.229508197,4
Lake Rebecca,LR03,0,0,130,0,0,60,30,0,0,0,0,0,220,0,0,59.09090909,0,0,27.27272727,13.63636364,0,0,0,0,0,0,0,11.93940594,0,0,4.69038546,2.42577558,0,0,0,0,0,19.05556698,0,0,62.65573705,0,0,24.61425296,12.73000999,0,0,0,0,0,0,0,121.7466461,0,0,51.88698024,26.36637363,0,0,0,0,0,200,0,0,11.66153846,0,0,12.06666667,20.6,0,0,0,0,0,12.99090909,0,0,13.4809267,0,0,12.23968954,20.68735524,0,0,0,0,0,14.37377663,1.083575524,2.261682243,3
Lake Rebecca,LR04,0,0,80,0,0,70,40,0,0,0,0,20,210,0,0,38.0952381,0,0,33.33333333,19.04761905,0,0,0,0,9.523809524,0,0,23.9305158,0,0,8.81540928,1.63396386,0,0,0,0,3.53162862,37.91151756,0,0,63.12202027,0,0,23.25258878,4.309940528,0,0,0,0,9.315450415,0,0,101.2172584,0,0,56.58592212,23.35755958,0,0,0,0,18.83925994,200,0,0,11.35,0,0,7.614285714,22.35,0,0,0,0,7.5,11.83333333,0,0,11.92434485,0,0,7.700927588,23.06881011,0,0,0,0,7.532595834,13.44266484,1.386294361,3.315789474,4
Lake Rebecca,LR05,0,0,30,0,0,10,50,0,0,0,0,20,110,0,0,27.27272727,0,0,9.090909091,45.45454545,0,0,0,0,18.18181818,0,0,1.5012135,0,0,0.31502304,22.9678848,0,0,0,0,3.00199068,27.78611202,0,0,5.402747599,0,0,1.133742784,82.6595847,0,0,0,0,10.80392492,0,0,32.67547487,0,0,10.22465187,128.1141302,0,0,0,0,28.9857431,200,0,0,14.56666667,0,0,5.6,27.6,0,0,0,0,7.1,18.31818182,0,0,14.58183802,0,0,5.6,27.90039426,0,0,0,0,7.125307011,20.58894231,1.386294361,3.102564103,4
McNally's Landing,ML01,0,0,0,0,0,180,0,0,0,0,0,0,180,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,14.81857254,0,0,0,0,0,0,14.81857254,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,200,0,0,0,0,0,11.56111111,0,0,0,0,0,0,11.56111111,0,0,0,0,0,11.97397641,0,0,0,0,0,0,11.97397641,0,1,1
McNally's Landing,ML02,0,0,0,0,70,20,0,0,0,0,0,30,120,0,0,0,0,0,16.66666667,0,0,0,0,0,25,0,0,0,0,10.1678922,1.45381824,0,0,0,0,0,2.12100606,13.7427165,0,0,0,0,0,10.57882726,0,0,0,0,0,15.43367398,0,0,0,0,132.3208321,27.24549393,0,0,0,0,0,40.43367398,200,0,0,0,0,15.58571429,14.85,0,0,0,0,0,11.76666667,14.50833333,0,0,0,0,15.92235625,15.22317313,0,0,0,0,0,11.80183602,14.87724773,1.083575524,2.322580645,3
